_start,_stop,_time,_value
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:09:35Z,316
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:09:40Z,317
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:09:45Z,316
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:09:50Z,314
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:09:55Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:00Z,314
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:06Z,313
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:11Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:16Z,309
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:21Z,316
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:26Z,317
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:31Z,318
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:36Z,318
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:41Z,317
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:46Z,311
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:51Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:10:56Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:01Z,308
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:06Z,305
2025-04-28T12:28:31.637356449Z,2025-05-05T12:28:31.637356449Z,2025-05-04T01:11:12Z,306
